,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
40,6431,298.15,101.0,Liquid,2,O,Solvent,0.2997,,OCCOCCO,Solvent,0.7003,,1.1163007969410579,0.0008685648504487916,,,SimulationLayer
41,6432,298.15,101.0,Liquid,2,O,Solvent,0.2094,,OCCOCCO,Solvent,0.7906,,,,-0.33821472901746574,0.12962878985465867,SimulationLayer
42,6433,298.15,101.0,Liquid,2,O,Solvent,0.6996,,OCCOCCO,Solvent,0.3004,,,,-0.0832783315738741,0.053982657608921444,SimulationLayer
43,6434,298.15,101.0,Liquid,2,O,Solvent,0.499,,OCCOCCO,Solvent,0.501,,,,-0.9001344492970347,0.07495129900440299,SimulationLayer
44,6435,298.15,101.0,Liquid,2,CC(C)O,Solvent,0.231278,,O,Solvent,0.768722,,0.8851666207939165,0.0008783025829223192,,,SimulationLayer
45,6436,298.15,101.0,Liquid,2,CC(C)O,Solvent,0.764357,,O,Solvent,0.235643,,0.8161009458097539,0.0008005483388018914,,,SimulationLayer
46,6437,298.15,101.0,Liquid,2,CC(C)O,Solvent,0.4981,,O,Solvent,0.5019,,0.8346811466212323,0.0006970142333520302,,,SimulationLayer
47,6438,313.15,101.0,Liquid,2,CC(C)O,Solvent,0.2031,,O,Solvent,0.7969,,,,0.6561335869188412,0.050942721894299214,SimulationLayer
48,6439,313.15,101.0,Liquid,2,CC(C)O,Solvent,0.5048,,O,Solvent,0.4952,,,,1.1402145665579546,0.06351673361663882,SimulationLayer
49,6440,313.15,101.0,Liquid,2,CC(C)O,Solvent,0.704,,O,Solvent,0.296,,,,0.9329488548960931,0.07637616070057475,SimulationLayer
50,6453,298.15,101.3,Liquid,2,O,Solvent,0.2552,,OC1=NCCC1,Solvent,0.7448,,1.0650501134499755,0.0006393553654661055,,,SimulationLayer
51,6454,298.15,101.3,Liquid,2,O,Solvent,0.5,,OC1=NCCC1,Solvent,0.5,,1.054680487511646,0.0006157106281162318,,,SimulationLayer
52,6455,298.15,101.3,Liquid,2,O,Solvent,0.7532,,OC1=NCCC1,Solvent,0.2468,,1.0343821479340822,0.0008878642835533209,,,SimulationLayer
53,6456,298.15,101.0,Liquid,2,O,Solvent,0.7681,,OC1=NCCC1,Solvent,0.2319,,,,1.097759074393153,0.05169823007520103,SimulationLayer
54,6457,298.15,101.0,Liquid,2,O,Solvent,0.5217,,OC1=NCCC1,Solvent,0.4783,,,,1.4043801240558338,0.06947431492269034,SimulationLayer
55,6458,298.15,101.0,Liquid,2,O,Solvent,0.2307,,OC1=NCCC1,Solvent,0.7693,,,,1.1933176984990297,0.11588327925998983,SimulationLayer
56,6483,298.15,101.0,Liquid,2,C1CCNCC1,Solvent,0.75,,O,Solvent,0.25,,0.8768541027386322,0.0005768239890154243,,,SimulationLayer
57,6484,298.15,101.0,Liquid,2,C1CCNCC1,Solvent,0.5,,O,Solvent,0.5,,0.8874126047918373,0.0008189431413559592,,,SimulationLayer
58,6485,298.15,101.0,Liquid,2,C1CCNCC1,Solvent,0.25,,O,Solvent,0.75,,0.9142732101987983,0.0007496909754801506,,,SimulationLayer
59,6486,297.15,101.0,Liquid,2,C1CCNCC1,Solvent,0.75,,O,Solvent,0.25,,,,-0.6104100193785698,0.10180819473175007,SimulationLayer
60,6487,297.15,101.0,Liquid,2,C1CCNCC1,Solvent,0.5,,O,Solvent,0.5,,,,-1.042816596387837,0.07479356817095618,SimulationLayer
61,6488,297.15,101.0,Liquid,2,C1CCNCC1,Solvent,0.25,,O,Solvent,0.75,,,,-0.6796969022961328,0.05152499674165108,SimulationLayer
62,6489,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.2091,,O,Solvent,0.7909,,0.996042334700044,0.0007928650267340486,,,SimulationLayer
63,6490,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.5109,,O,Solvent,0.4891,,0.9761722564177698,0.0010137457767018345,,,SimulationLayer
64,6491,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.7065,,O,Solvent,0.2935,,0.9643378348369916,0.0004523772396417673,,,SimulationLayer
65,6492,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.1998,,O,Solvent,0.8002,,,,-3.567934844426933,0.054266167782351195,SimulationLayer
66,6493,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.55,,O,Solvent,0.45,,,,-2.800185834517947,0.0645224591339387,SimulationLayer
67,6494,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.7926,,O,Solvent,0.2074,,,,-1.5668011974524063,0.08372797837952152,SimulationLayer
68,6567,293.15,101.325,Liquid,2,Cc1cccnc1,Solvent,0.225,,O,Solvent,0.775,,0.9618040611186834,0.0008108020504185478,,,SimulationLayer
69,6568,293.15,101.325,Liquid,2,Cc1cccnc1,Solvent,0.5,,O,Solvent,0.5,,0.9561079747577621,0.0005654002995174794,,,SimulationLayer
